IDProducto,NombreProducto,Descripcion,Categoria,PrecioProducto
92,EDP Carolina Herrera 212 Vip Rosé NYC x 80 Ml,"Carolina Herrera 212 VIP Rosé EDP x 80 Ml, Carolina Herrera, 80ml",Perfumeria,274300
93,EDP Carolina Herrera CH Men Pasion x 100 Ml,"Carolina Herrera CH Men Pasión EDP x 100 Ml, Carolina Herrera, 100ml.",Perfumeria,"199650,01"
94,EDP Cher Beauty Zarci x 100 ml,"Cher Beauty Zarci EDP x 100 Ml, Maria Cher, 100ml.",Perfumeria,"59823,58"
95,EDP Cher Beauty Box 8,"Cher Beauty Box 8 EDP x 100 Ml, Maria Cher, 100ml.",Perfumeria,"35459,99"
96,EDP Givenchy Ange Ou Demon x 50ml,"Givenchy Ange ou Démon EDP x 50 Ml, Givenchy, 50ml.",Perfumeria,244500
97,EDP Givenchy Irresistible x 80ml,"Givenchy Irresistible EDP x 80 Ml, Givenchy, 80ml.",Perfumeria,"293300,01"
98,EDP Givenchy Linterdit Absolu x 35 Ml,"Givenchy L’Interdit Absolu EDP Intense x 35 Ml, Givenchy, 35ml.",Perfumeria,"206800,01"
99,EDP Kevingston Nomade x 50 Ml,"Kevingston Nómade EDP x 50 Ml, Kevingston, 50ml.",Perfumeria,"27500,01"
100,"EDP Lancome La Vie Est Belle For Women 75 ml Recargable","Lancôme La Vie Est Belle EDP x 75 Ml Recargable, Lancôme, 75ml.",Perfumeria,"329999,99"
101,EDP Paco Rabanne Fame Refillable x 80ml,"Paco Rabanne Fame EDP x 80 Ml Recargable, Rabanne, 80ml.",Perfumeria,"274894,61"
102,EDP Paco Rabanne Lady Million Fabulous x 50ml,"Paco Rabanne Lady Million Fabulous EDP Intense x 50 Ml, Rabanne, 50ml.",Perfumeria,"164200,01"
103,EDP Paloma Herrera For Women X 100 ml,"Paloma Herrera For Women EDP x 100 Ml, Paloma Herrera, 100ml.",Perfumeria,"38945,6"
104,EDP Paloma Herrera Fragnacia Fantasy For Woman x 100 ml,"Paloma Herrera Fantasy EDP x 100 Ml, Paloma Herrera, 100ml.",Perfumeria,"38350,94"
105,EDP Rabanne Million Gold For Her x 30 Ml,"Rabanne Million Gold For Her EDP x 30 Ml, Rabanne, 30ml.",Perfumeria,"170300,01"
106,EDP Prune II For Women x 50 ml,"Prune II For Women EDP x 50 Ml, Prune, 50ml.",Perfumeria,"27032,41"
107,EDP Versace Eros Pour Femme x 100 ml,"Versace Eros Pour Femme EDP x 100 Ml, Versace, 100ml.",Perfumeria,"283000,01"
108,EDP Yves Saint Laurent Black Opium For Women x 90 ml,"Yves Saint Laurent Black Opium For Women EDP x 90 Ml, YSL, 90ml.",Perfumeria,"345000,01"
109,EDPGivenchy Ange Demon Secret For Women x 100 ml,"Givenchy Ange ou Démon Le Secret EDP x 100 Ml, Givenchy, 100ml.",Perfumeria,319000
110,"EDT Adolfo Domínguez Agua Fresca Bergamota Ámbar x 120 ml","Adolfo Domínguez Agua Fresca Bergamota Ámbar EDT x 120 Ml, Adolfo Domínguez, 120ml.",Perfumeria,78890
111,"EDT Armani Fragancia Code For Men x 50 ml","Giorgio Armani Code For Men EDT x 50 Ml, Armani, 50ml.",Perfumeria,130500
112,EDT Calvin Klein Ck One X 200 ml,"Calvin Klein CK One EDT x 200 Ml, Calvin Klein, 200ml.",Perfumeria,"225000,01"
113,EDT Chester Ice For Men x 60 ml,"Chester Ice For Men EDT x 60 Ml, Chester, 60ml.",Perfumeria,"10780,5"
114,EDT Colbert Fragancia Acqua For Men x 60 ml,"Colbert Acqua For Men EDT x 60 Ml, Colbert, 60ml.",Perfumeria,"15136,23"
115,EDT Colbert Noir For Men x 90 ml,"Colbert Noir For Men EDT x 90 Ml, Colbert, 90ml.",Perfumeria,"16878,54"
116,EDT Dolce & Gabbana Light Blue x 100 ml,"Dolce & Gabbana Light Blue Pour Femme EDT x 100 Ml, D&G, 100ml.",Perfumeria,221000
117,"Coqueterías Flowers EDT x 40 Ml, Coqueterías, 40ml.","Coqueterías Flowers EDT x 40 Ml, Coqueterías, 40ml.",Perfumeria,"8384,69"
118,EDT Fragancia Paco Niños x 60ml,"Paco Niños EDT x 60 Ml, Paco, 60ml.",Perfumeria,"8493,72"
119,EDT Hallowen For Women x 100 ml,"Halloween For Women EDT x 100 Ml, Halloween, 100ml.",Perfumeria,"146000,02"
120,"EDT Hugo Boss Bottled For Men x 100 ml","Hugo Boss Bottled For Men EDT x 100 Ml, Hugo Boss, 100ml.",Perfumeria,"209999,98"
121,EDT Paco Rabanne Phantom For Men X 100 ml,"Paco Rabanne Phantom For Men EDT x 100 Ml, Rabanne, 100ml.",Perfumeria,212100
122,"EDT Paula Cahen D'anvers Amor For Women x 60 ml","Paula Cahen D'anvers Amor For Women EDT x 60 Ml, Paula, 60ml.",Perfumeria,"32750,8"
123,EDT Prune Moi For Women x 60 ml,"Prune Moi For Women EDT x 60 Ml, Prune, 60ml.",Perfumeria,"30643,58"
124,EDT Shakira Florale For Women x 80 ml,"Shakira Florale For Women EDT x 80 Ml, Shakira, 80ml.",Perfumeria,37700
125,EDT Tommy Hilfiger Tommy Men x 50 ml,"Tommy Hilfiger Tommy Men EDT x 50 Ml, Tommy Hilfiger, 50ml.",Perfumeria,"115389,99"
126,"EDT Tommy Hilgifer Impact Spark x 100 Ml","Tommy Hilfiger Impact Spark EDT x 100 Ml, Tommy Hilfiger, 100ml.",Perfumeria,157000
127,EDT YVS Libre x 90 Ml,"Yves Saint Laurent Libre For Women EDT x 90 Ml, YSL, 90ml.",Perfumeria,270000
128,Elizabeth Arden Fragancia Green Tea Edt For Women | 30 Ml,"Elizabeth Arden Green Tea EDT x 30 Ml, Elizabeth Arden, 30ml.",Perfumeria,43690
129,Elizabeth Arden Fragancia White Tea Edt For Women 100 ml,"Elizabeth Arden White Tea EDT x 100 Ml, Elizabeth Arden, 100ml.",Perfumeria,"160689,99"
130,Estuche Chester Ice EDT x 60 Ml + Desodorante x 150 Ml,"Estuche Chester Ice EDT x 60 Ml + Desodorante x 150 Ml, Chester, Set.",Perfumeria,"29624,42"
131,Flower By Kenzo Edp Refillable 100 ml,"Kenzo Flower For Women EDP x 100 Ml Refillable, Kenzo, 100ml.",Perfumeria,"245800,01"
132,Fragancia Alliance Edt For Men 80 ml,"Alliance For Men EDT x 80 Ml, Alliance, 80ml.",Perfumeria,"29721,59"
133,Fragancia Cheeky Cute Baby Para Bebes x 100 ml,"Fragancia Cheeky Cute Baby Para Bebes x 100 ml, Cheeky, 100ml.",Perfumeria,17900
134,Fragancia Ciel Clasico x 250 ml,"Fragancia Ciel Clasico x 250 ml, Ciel, 250ml.",Perfumeria,11895
135,Fragancia Ciel Magic x 250 ml,"Fragancia Ciel Magic x 250 ml, Ciel, 250ml.",Perfumeria,11904
136,Fragancia Coqueterias For Women,"Fragancia Coqueterias For Women, Coqueterias, 40ml.",Perfumeria,9255
137,Fragancia Danielle Edt Pour Babies,"Fragancia Danielle Edt Pour Babies, Danielle, 50ml.",Perfumeria,9255
138,Givenchy Fragancia Linterdit Rouge Edp For Women 35 ml,"Givenchy Fragancia Linterdit Rouge Edp For Women 35 ml, Givenchy, 35ml.",Perfumeria,180000
139,Givenchy Gentleman Eau de Toilette (EDT) for Men x 100 ml,"Givenchy Gentleman Eau de Toilette (EDT) for Men x 100 ml, Givenchy, 100ml.",Perfumeria,211000
140,Givenchy L´Interdit Parfum 50 ml,"Givenchy L´Interdit Parfum 50 ml, Givenchy, 50ml.",Perfumeria,222200
141,Givenchy L´Interdit Parfum 80 ml,"Givenchy L´Interdit Parfum 80 ml, Givenchy, 80ml.",Perfumeria,305000
142,Kenzo Homme Eau de Parfum x 110 ml,"Kenzo Homme Eau de Parfum x 110 ml, Kenzo, 110ml.",Perfumeria,245100
143,Kevin Black Eau de Toilette (EDT) x 100ml,"Kevin Black Eau de Toilette (EDT) x 100ml, Kevin, 100ml.",Perfumeria,23572
144,Kevin Black Eau de Toilette (EDT) x 60ml,"Kevin Black Eau de Toilette (EDT) x 60ml, Kevin, 60ml.",Perfumeria,18652
145,Kevin Fragancia Absolute Edt For Men x 100 ml,"Kevin Fragancia Absolute Edt For Men x 100 ml, Kevin, 100ml.",Perfumeria,32283
146,Kevin Fragancia Absolute Edt For Men x 60 ml,"Kevin Fragancia Absolute Edt For Men x 60 ml, Kevin, 60ml.",Perfumeria,27159
147,Kevin Fragancia Platinum Edt For Men x 50 ml,"Kevin Fragancia Platinum Edt For Men x 50 ml, Kevin, 50ml.",Perfumeria,25417
148,Kevin Ice For Men Eau de Toilette (EDT) x 100ml,"Kevin Ice For Men Eau de Toilette (EDT) x 100ml, Kevin, 100ml.",Perfumeria,19074
149,Kevin Spirit For Men Eau de Toilette (EDT) x 100ml,"Kevin Spirit For Men Eau de Toilette (EDT) x 100ml, Kevin, 100ml.",Perfumeria,22752
150,Kevin Spirit For Men Eau de Toilette (EDT) x 60ml,"Kevin Spirit For Men Eau de Toilette (EDT) x 60ml, Kevin, 60ml.",Perfumeria,18037
151,Kevingston 1989 Blue Eau de Toilette (EDT) x 100ml,"Kevingston 1989 Blue Eau de Toilette (EDT) x 100ml, Kevingston, 100ml.",Perfumeria,34900
152,Kevingston 1989 Desodorante Hombre 160 ml,"Kevingston 1989 Desodorante Hombre 160 ml, Kevingston, 160ml.",Perfumeria,3899
153,Kevingston 1989 Grey Eau de Toilette (EDT) x 100ml,"Kevingston 1989 Grey Eau de Toilette (EDT) x 100ml, Kevingston, 100ml.",Perfumeria,34900
154,Lattafa Asad EDP x 100 ml,"Lattafa Asad EDP x 100 ml, Lattafa, 100ml.",Perfumeria,89990
155,Lattafa Asad Zanzibar EDP x 100 ml,"Lattafa Asad Zanzibar EDP x 100 ml, Lattafa, 100ml.",Perfumeria,89990
156,Lattafa Khamrah Qahwa EDP x 100 ml,"Lattafa Khamrah Qahwa EDP x 100 ml, Lattafa, 100ml.",Perfumeria,115990
157,Mujercitas Sophie 50 ml,"Mujercitas Sophie 50 ml, Mujercitas, 50ml.",Perfumeria,15898
158,Mujercitas Edt 40 ml,"Mujercitas Edt 40 ml, Mujercitas, 40ml.",Perfumeria,8234
159,Mujercitas Fragancia Funny Edt 40 ml,"Mujercitas Fragancia Funny Edt 40 ml, Mujercitas, 40ml.",Perfumeria,9691
160,Mujercitas Fragancia Sunny Edt 40 ml,"Mujercitas Fragancia Sunny Edt 40 ml, Mujercitas, 40ml.",Perfumeria,9691
161,Paco Rabanne 1 Million Elixir Parfum Intense x 50ml,"Paco Rabanne 1 Million Elixir Parfum Intense x 50ml, Paco Rabanne, 50ml.",Perfumeria,213600
162,Paco Rabanne Black XS EDT for Men x 100ml,"Paco Rabanne Black XS EDT for Men x 100ml, Paco Rabanne, 100ml.",Perfumeria,178500
163,Paco Rabanne Fragancia 1 million Edt For Men x 50 ml,"Paco Rabanne Fragancia 1 million Edt For Men x 50 ml, Paco Rabanne, 50ml.",Perfumeria,178000
164,Paco Rabanne Fragancia Lady Million Edp For Women,"Paco Rabanne Fragancia Lady Million Edp For Women, Paco Rabanne, 30ml.",Perfumeria,154399
165,Paco Rabanne Fragancia Pure Xs Edp For Woman 80,"Paco Rabanne Fragancia Pure Xs Edp For Woman 80, Paco Rabanne, 80ml.",Perfumeria,197500
166,Paco Rabanne Invictus Eau de Toilette (EDT) for Men X,"Paco Rabanne Invictus Eau de Toilette (EDT) for Men X, Paco Rabanne, 100ml.",Perfumeria,209999
167,Paco Rabanne One Million Eau de Toilette (EDT) for Men,"Paco Rabanne One Million Eau de Toilette (EDT) for Men, Paco Rabanne, 100ml.",Perfumeria,209999
168,Paco Rabanne Phantom Intense Eau de Parfum x 100,"Paco Rabanne Phantom Intense Eau de Parfum x 100, Paco Rabanne, 100ml.",Perfumeria,229100
169,Body Splash Spiderman Infantil x 125 ml,"Body Splash Spiderman Infantil x 125 ml, Marvel, 125ml.",Perfumeria,6678
170,Disney Perfume Blancanieves Vestido 45 ml,"Disney Perfume Blancanieves Vestido 45 ml, Disney, 45ml.",Perfumeria,18690
171,Disney Perfume Infantil Blancanieves x 50 ml,"Disney Perfume Infantil Blancanieves x 50 ml, Disney, 50ml.",Perfumeria,7138
172,Disney Perfume Infantil Princesa Bella Con Lamina,"Disney Perfume Infantil Princesa Bella Con Lamina, Disney, 100ml.",Perfumeria,10708
173,Disney Perfume Manzana Blancanieves Princesa 25 ml,"Disney Perfume Manzana Blancanieves Princesa 25 ml, Disney, 25ml.",Perfumeria,13497
174,Elvive Óleo Extraordinario,Elvive Óleo Tratamiento Sérum 100ml,Cuidado Personal,"22140,24"
175,Colgate Gel Max White,Colgate Max White Crystal Mint 100 ml,Cuidado Personal,"6276,66"
176,Bucal Tac Mafalda,Bucaltac Mafalda Crema Dental 90 gr,Cuidado Personal,9490
177,Colgate Total 12,Colgate Total 12 Encías Sanas 90 gr,Cuidado Personal,"5957,75"
178,Kotex Nocturna,Kotex Nocturna Cuidado Puro x 8 unid,Cuidado Personal,"4290,94"
179,Nonisec Juvenil,Nonisec Pañales Juvenil Ultra x 8 unid,Cuidado Personal,"8440,61"
180,Siempre Libre Normal,Siempre Libre Normal Suave x 8 unid,Cuidado Personal,"3693,33"
181,Tio Nacho Herbolaria,Tio Nacho Acond. Herbolaria 415 ml,Cuidado Personal,"10516,19"
182,Colgate Smiles Minions,Colgate Cepillo Minions 6+ x 2 unid,Cuidado Personal,"5879,2"
183,Colgate Max White Carbon,Colgate Cepillo Max White Carbon,Cuidado Personal,"6921,04"
184,Colgate Luminous White,Colgate Crema Luminous Glow 70 gr,Cuidado Personal,"6452,04"
185,Rexona All Body Ocean,Rexona Crema All Body Ocean 75 ml,Cuidado Personal,"7900,07"
186,Rexona All Body Wild Rose,Rexona Crema All Body Wild Rose 75 ml,Cuidado Personal,"7900,07"
187,Colgate Luminous Carbón,Colgate Enjuague Luminous White 500 ml,Cuidado Personal,"10025,84"
188,Colgate Plax Odor Control,Colgate Enjuague Plax Odor 250ml,Cuidado Personal,"6074,58"
189,Eva Copa Tamaño 3,Copa Mestrual Eva D48 Tamaño 3,Cuidado Personal,19850
