IDProducto,NombreProducto,Descripcion,Categoria,PrecioProducto
446,Bolsa De Agua Caliente Mapa,"Con funda color Azul, capacidad 2 Lts.",Hogar y alimentos ,"16500,01"
447,Bolsa De Agua Caliente Mapa,"Con funda color Rosa, capacidad 2 Lts.",Hogar y alimentos ,"16500,01"
448,Pilas Duracell AA x 2,"Pack de 2 unidades, larga duración.",Hogar y alimentos ,"3487,56"
449,Pilas Duracell AAA x 2,"Pack de 2 unidades, larga duración.",Hogar y alimentos ,"2647,79"
450,Balanza De Cocina Aspen Silver,"Balanza digital de precisión, modelo BC-220, color Silver.",Hogar y alimentos ,"33599,2"
451,Duracell Pila Chica Doble Aa,"Pack de 4 unidades, larga duración.",Hogar y alimentos ,"6596,8"
452,Repelente Mosquitos Stop Vais,"Aerosol Extra Duración, protección reforzada.",Hogar y alimentos,"4060,58"
453,Repelente Mosquitos Stop Vais,"Spray repelente de mosquitos, envase de 200 ml.",Hogar y alimentos,"3773,94"
454,Salsa Dulce Maple-Free 100% Natural,"Sabor Maple, 0% calorías, envase de 250 gr.",Hogar y alimentos,"10020,01"
455,Salsa Dulce Mrs Taste Chocolate,"Bajo en calorías, sabor Chocolate, 335 gr.",Hogar y alimentos,"8664,01"
456,Salsa Dulce Mrs Taste NO-BEE,"100% Natural sabor Miel, sin azúcar, 335 gr.",Hogar y alimentos,"10020,01"
457,Salsa Dulce Mrs Taste Blueberry,"Zero Calorías, sabor Arándanos, 335 gr.",Hogar y alimentos,"8664,01"
458,Pocillo Stanley x 65 Ml Negro,"Pocillo de acero inoxidable, color Negro.",Hogar y alimentos,35700
459,Stevia En Polvo Kony,"Edulcorante natural en polvo, caja de 100 sobres.",Hogar y alimentos,"4546,29"
460,Taza Stanley Camp Mug,"Edición Especial, taza térmica con tapa.",Hogar y alimentos,62900
461,Taza Stanley NightFall,"Edición Especial, diseño constelaciones",Hogar y alimentos,69700
462,Taza Stanley The Daybreak con Plato,"Taza de cerámica/acero con plato, 192 ml, Blanco.",Hogar y alimentos,76500
463,Taza Stanley The Daybreak x 313 Ml,"Taza térmica con asa, color Negro, 313 ml.",Hogar y alimentos,"82450,02"
464,Auriculares con Micrófono Dekkin,Auriculares in-ear con micrófono integrado.,Hogar y alimentos,"8669,62"
465,Bolsa Agua Caliente Bremen,"Con funda de lana diseño clásico, rinde calor.",Hogar y alimentos,"10703,81"
466,Cable Micro USB Dekkin,"Para carga y sincronización, 1 unidad.",Hogar y alimentos,"4806,59"
467,Cargador De Auto Dekkin,"Cargador para vehículo, 1 unidad.",Hogar y alimentos,"6396,17"
468,Aerosol Desinfectante Cif,"Para ambientes y superficies, fragancia Floral.",Hogar y alimentos,"4340,69"
469,Aerosol Mata Moscas Y Mosquitos Raid,"Sin Olor, protección efectiva, 380 cm³.",Hogar y alimentos,"10552,6"
470,Aerosol Mata Moscas Y Mosquitos Raid,"Aerosol estándar, 380 ml.",Hogar y alimentos,"9049,7"
471,Ala Jabón líquido para diluir,"Jabón líquido para lavar, 500 ml rinde 3L.",Hogar y alimentos,"11343,58"
472,Aparato Para Tabletas Raid,Incluye aparato eléctrico + 4 tabletas de repuesto.,Hogar y alimentos,"12715,88"
473,Arándanos Rojos Deshidratados,"Marca Cumaná, 150 gr.",Hogar y alimentos,3200
474,Aromatizante en Aerosol Saphirus,"Fragancia Bebé, 185g.",Hogar y alimentos,"6161,79"
475,Aromatizante en Aerosol Saphirus,"Fragancia Coco y Vainilla, 185g.",Hogar y alimentos,"6161,79"
476,Aromatizante en Aerosol Saphirus,"Fragancia Flores Blancas, 185g.",Hogar y alimentos,"6161,79"
477,Aromatizante en Aerosol Saphirus,"Fragancia Flowers, 185g.",Hogar y alimentos,"6161,79"
478,Aromatizante en Aerosol Saphirus,"Fragancia Hawaii, 185g.",Hogar y alimentos,"6161,79"
479,Aromatizante en Aerosol Saphirus,"Fragancia Invicto, 185g.",Hogar y alimentos,"6161,79"
480,Sombra Brilliant Eyes,LOREAL Sombra Liquida 2.9 ml Amethyst Quartz,Maquillaje,"27810,09"
481,Sombra Brilliant Eyes,LOREAL Sombra Liquida 2.9 ml Bronze Light,Maquillaje,"27810,09"
482,Esmalte Colorama Fini,MAYBELLINE Esmalte Fini Me Encanta!,Maquillaje,"5234,68"
483,Esmalte Colorama Fini,MAYBELLINE Esmalte Fini Soleado,Maquillaje,"5234,68"
484,Polvo Infaillible,LOREAL Polvo Fresh Wear 180 Rose Sand,Maquillaje,"54374,23"
485,Base en Polvo Resist,VOGUE Vogue Base en Polvo Resist,Maquillaje,"18930,43"
486,Base Fit Me Matte,MAYBELLINE Base Matte Poreless 112,Maquillaje,"26605,64"
487,Base Fit Me Matte,MAYBELLINE Base Matte Poreless 125,Maquillaje,"40575,65"
488,Lifter Gloss Ice,"MAYBELLINE Lifter Gloss 5,4 ml Color 002 Ice",Maquillaje,"35643,57"
489,Lifter Gloss Crystal,MAYBELLINE Lifter Gloss Tono Crystal,Maquillaje,"35643,57"
490,Lifter Plump Red Flag,MAYBELLINE Lifter Plump 5.4 ml Red Flag,Maquillaje,"35090,97"
491,Stick To The Gloss,CHER Stick To The Gloss Color Rosy Brown,Maquillaje,"22630,45"
492,Lash Sensational Firework,MAYBELLINE Mascara Firework Washable,Maquillaje,"41607,2"
493,Sky High Very Black,MAYBELLINE Mascara Sky High Very Black,Maquillaje,"43866,45"
494,Tattoo Liner Play,MAYBELLINE Delineador Play Switch,Maquillaje,"26729,9"
495,Tattoo Play Color,MAYBELLINE Delineador Play Color Drop,Maquillaje,"26729,9"
496,Lumi Glotion,LOREAL Iluminador Lumi Glotion 901 Fair,Maquillaje,"47793,92"
497,Infaillible Full Wear,LOREAL Corrector Full Wear 326 vainilla,Maquillaje,"42975,65"
498,Volume Panorama,LOREAL Volume Panorama Black Waterproof,Maquillaje,"56159,96"
499,Colossal Volum Express,MAYBELLINE Mascara Colossal Black,Maquillaje,"31800,16"
500,Tattoo Liner 48Hs,MAYBELLINE Delineador Tattoo Liquid 48Hs,Maquillaje,"28624,04"
501,Paleta Music Collection,MAYBELLINE Paleta Sombras Reggaeton,Maquillaje,"29100,85"
502,Base Uñas Endurecedora,VOGUE Base Endurecedora Fantastic 10 ml,Maquillaje,"5912,48"
503,Exaggerate Eye Liner,RIMMEL Exaggerate Liquido Liner Black,Maquillaje,"24779,21"
504,Diamond Gel Top Coat,"RISQUÉ Diamond Gel Top Coat Fixador 9,5 ml",Maquillaje,"6486,43"
505,Esmalte Rose Bombon,RISQUÉ Risque Esmalte 230 Rose Bombon,Maquillaje,"4159,89"
506,Plump Ambition Clear,LOREAL Plump Ambition 5 ml Cristal Clear,Maquillaje,"43013,35"
507,True Match Radiant,LOREAL Corrector True Match 5D True,Maquillaje,"43013,35"
508,Insta Dri Fast Mauver,SALLY HANSEN Insta Dri 218 Fast Mauver,Maquillaje,"7735,16"
509,Insta Dri Powerslide,SALLY HANSEN Insta-Dri 565 Powerslide,Maquillaje,"7300,01"
510,Unbelieva Brow,LOREAL Gel Cejas 103 Warm Blonde,Maquillaje,"30574,68"
511,Lasting Mega Matte,RIMMEL Labial Carnival Red,Maquillaje,"27099,48"
512,Base True Match,LOREAL Base True Match Sable Rose,Maquillaje,"56159,96"
513,Seca Esmalte Rápido,SALLY HANSEN Seca Esmalte Drops 30 Seg,Maquillaje,"16288,76"
514,Tinta Cejas Resist,VOGUE Tinta Cejas Resist Camel 4 ml,Maquillaje,"13359,39"
515,Base Mate Natural,VOGUE Base Mate Natural Canela,Maquillaje,23053
516,Corrector Liquido,VOGUE Corrector Liquido 5 ml Petalo,Maquillaje,"13916,48"
517,Efecto Gel Amar,VOGUE Esmalte Efecto Gel Amar,Maquillaje,"8345,44"
518,Efecto Gel Felicidad,VOGUE Esmalte Efecto Gel Felicidad,Maquillaje,"8345,44"
519,Efecto Gel Paz,VOGUE Esmalte Efecto Gel 14 ml Paz,Maquillaje,"8216,05"
520,Esmalte Autentica,VOGUE Esmalte Fantastic Autentica 10 ml,Maquillaje,"6005,6"
521,Esmalte Fantastic Sand,VOGUE Esmalte Fantastic Sand,Maquillaje,"5912,48"
522,Colorissimo Lychee,VOGUE Labial Barra Lychee Fresco,Maquillaje,"8654,83"
523,Labial Resist,VOGUE Labial Líquido Resist Invenvible,Maquillaje,"18930,43"
524,Curvas Perfectas,VOGUE Mascara Curvas Perfectas Washable,Maquillaje,"20044,63"
525,Al Infinitto Negro,VOGUE Mascara Al Infinitto Negro Intenso,Maquillaje,"21158,87"
526,Lifter Glaze Pink,"MAYBELLINE Bálsamo 2,8 g 002 Pink Drip",Maquillaje,"28514,86"
527,Lifter Glaze Latte,"MAYBELLINE Bálsamo 2,8 g 009 Latte Crush",Maquillaje,"28514,86"
528,Fit Me Fresh Tint 1,MAYBELLINE Fresh Tint Spf 50 Tono 1,Maquillaje,"35532,18"
529,Fit Me Fresh Tint 6,MAYBELLINE Fresh Tint Spf 50 Tono 6,Maquillaje,"35532,18"
530,Delineador Labios,MAYBELLINE Delineador Lifter Fine Line,Maquillaje,"20172,63"
531,Gloss Vinyl Effect,DOROTHY GRAY Gloss Vinyl Transparente,Maquillaje,"13247,99"
532,Shimmer Spray,SERENDIPITY Shimmer Spray Dorado,Maquillaje,"21999,99"
533,Teddy Tint Petalcore,MAYBELLINE Teddy Tint 5 ml 40 petalcore,Maquillaje,"36088,06"
534,Quita Esmalte Algabo,ALGABO Quita Esmalte Fortalecedor 100 ml,Maquillaje,"1864,45"
535,Quita Esmalte Algabo,ALGABO Quita Esmalte Humectante 50 ml,Maquillaje,"1344,36"
536,Quita Esmalte Cutex,CUTEX Quita Esmalte Hipoalergenico 100 ml,Maquillaje,"3178,22"
537,Quita Esmalte Cutex,CUTEX Quitaesmalte Vit E + Calcio 50 ml,Maquillaje,"2427,4"
538,Double Duty Base,SALLY HANSEN Double Duty Base & Top Coat,Maquillaje,"12725,6"
539,Esmalte Disney Stitch,JACTANS Esmalte Stitch Azul Claro 10ml,Maquillaje,"2310,57"
540,Esponja Beauty Blender,MOBILE ACC Esponja Frutas x 4 unid,Maquillaje,"16320,01"
541,Esponja Facial,JESSAMY Esponja Celulosa Grande,Maquillaje,"1739,99"
542,Glitters Pallet,THELMA & LOUISE Pallet 4 Tonos,Maquillaje,"5564,1"
543,Lima Diamantada,JESSAMY Lima Diamantada N° 6,Maquillaje,1216
544,Set Sweet Beauty,MOBILE ACC Set Sweet Beauty Doble x 4,Maquillaje,19380
545,New Color Esmalte,NEW COLOR Esmalte Uñas N° 6.10,Maquillaje,"2499,01"
546,New Color Esmalte,NEW COLOR Esmalte Uñas N° 6.30,Maquillaje,"2499,01"
547,Vitalgen Pelo y Uñas,ENA Vitalgen Pelo y Uñas x 30 comp,Colágeno,22400
548,Colageno Enaccion Move,ENA Colageno Enaccion Ena Move x 30 comp,Colágeno,20000
549,Colageno Enaccion Naranja,ENA Colageno Enaccion Sabor Naranja x 240 gr,Colágeno,26750
550,Colageno Enaccion Complex,ENA Colageno Complex Sabor Limónada x 270 gr,Colágeno,29850
551,Geneo Licopeno,NATUFARMA Colágeno Geneo Licopeno x 250 gr,Colágeno,26466
552,Vitalgen Sobres,ENA Vitalgen Sabor Limonada 12 gr x 15 sobres,Colágeno,27750
553,Agial Colageno Tipo II,NATUFARMA Agial Colageno Tipo ll Polvo X 300 Gr,Colágeno,28774
554,Lappiel Collagen Beauty,LAPPIEL Collagen Beauty Naranja x 30 Sobres,Colágeno,"50880,49"
555,Infiltrex Hidrolizado,INFILTREX Colageno Infiltrex Hidrolizado x 300gr,Colágeno,38750
556,Curflex Plus Tipo II,CURFLEX Colageno Tipo II Curflex Plus x 30 comp,Colágeno,"28721,16"
557,Infiltrex Comprimidos,INFILTREX Colágeno Infiltrex x 30 comprimidos,Colágeno,22750
558,Aerocamara Adulto,AERO100 Aerocamara Aero100 Adulto,Electro,"7350,74"
559,Aerocamara Pediatrica,AERO100 Aerocamara Aero100 Pediátrica,Electro,"7350,74"
560,Balanza Digital Omron,OMRON Balanza Inteligente HBF 226,Electro,"166980,8"
561,Nebulizador Mesh,SILFAB Nebulizador Mini Mesh 10 nm,Electro,"111186,05"
562,Balanza Bamboo,SILFAB Balanza Electrónica Bamboo 180kg,Electro,69580
563,Aerocamara Lactante,OMRON Aerocamara Icare Doble Valvula AC 402,Electro,"30601,94"
564,Aerocamara Infantil,OMRON Aerocamara Icare Doble Valvula AC 403,Electro,"30601,94"
565,Balanza Multifunción,ICARE Balanza Digital FG2317WB BT,Electro,"43375,5"
566,Almohadilla Termica,CORONET Almohadilla Termica Hp 17301,Electro,"84889,49"
567,Kit Enfermería,CORONET Kit Completo De Enfermería,Electro,"146271,53"
568,Nebulizador Mesh,PHILCO Nebulizador Ultrasonico Portatil,Electro,129999
569,Oxímetro de Pulso,ICARE Oxímetro de Pulso Icare 501,Electro,"54081,71"
570,Secador Atma,ATMASecador De Pelo Atma Classic 2500,Electro,49999
571,Tensiómetro Digital,ICARE Tensiómetro Automático HL858A2-L,Electro,"76703,24"
572,Tensiómetro Muñeca,OMRON Tensiómetro Digital Muñeca 6161 E,Electro,"86737,41"
573,Almohadilla Cervical,SILFAB Almohadilla Eléctrica Cervical 82 al,Electro,55710
574,Termometro Digital,SILFAB Citizen Termometro Digital 301C,Electro,7060
575,Secador Gama,GA.MA Secador Bloom Ceramic Ion,Electro,"116959,99"
576,Tensiometro Aneroide,SILFAB Tensiometro Aneroide Standard 1300,Electro,29990
577,Tensiometro Rojo,CORONET Tensiometro Aneroide c/ Estetoscopio,Electro,"32986,03"
578,Termómetro Galio,EXATHERM Termómetro Clínico Galio (s/Mercurio),Electro,"10187,24"
579,Termómetro Digital,EXATHERM Termómetro Digital Dt-K11b,Electro,"7242,1"
580,Nebulizador Pistón,ASPEN Nebulizador Compresor Nbb02-A-50,Electro,"80330,58"
581,Corta Pelo Allure,ALLURE Máquina Profesional Titanium HC8050,Electro,"46170,14"
582,Oneblade Face+Body,PHILIPS Philips Oneblade (Qp2824/10),Electro,"110932,79"
583,Termómetro IR,ASPEN Termómetro Infrarrojo TS8 4 en 1,Electro,"42798,99"
584,Planchita Pelo,BELLISSIMA Plancha Ceramic Long Plates,Electro,75199
585,Tensiometro Aneroide,FEMMTO Kit Aneroide c/ Estetoscopio BK2000,Electro,"42274,33"
586,Termometro Infrarojo,BBLOVE Termometro Clinico Infrarojo,Electro,"95895,1"
587,Termómetro Frente,EXATHERM Termómetro Contacto Cristal Líquido,Electro,"7667,35"
588,Tiras Guide,ACCU CHEK Tiras Reactivas Guide x 25 unid,Electro,73521
589,Tiras Performa,ACCU CHEK Tiras Reactivas Performa x 50 unid,Electro,132252
590,Almohadilla Térmica,SILFAB Almohadilla Cuore Fem,Electro,"63099,99"
591,Oxímetro Adulto,CORONET Oximetro de Pulso Adulto Pc-60F,Electro,"61269,29"
592,Oxímetro Pediatrico,CORONET Oximetro de Pulso Pediatrico Pc-60D2,Electro,"79371,49"
593,Bucleadora Titanium,DUGA Bucleadora Titanium 25mm 60w,Electro,66060
594,Cepillo Kit Ionic,DUGA Ionic Dryer Brush Kit x 6 Cabezales,Electro,252000
595,Rodillo Masajeador,DUGA Set Rodillo Facial + Gua Sha D541,Electro,57216
596,Elevainodoro,SILFAB Elevainodoro Altura Regulable Aluminio,Electro,113140
597,Oneblade Pro,PHILIPS Philips Oneblade Pro Qp6532/10,Electro,141397
